Date,Cases,Cases Moving Average,Cases Cumulative,Rate of Cases,Rate of Daily Cases,Deaths,Deaths Moving Average,Deaths Cumulative,Face_Masks_Required_in_Public_Color,Rate of Infection,Rate of Daily Infection
2020-11-12,1159.0,657.0,51513.0,0.006546963237866139,0.07226600373987481,3.0,3.0,1904.0,blue,0.04237670764586746,0.0747558663037449
2020-11-13,1210.0,721.0,52723.0,0.003990529973556504,0.003179953572677839,5.0,3.0,1909.0,blue,0.04654120122775818,0.07810659290650125
2020-11-14,0.0,721.0,52723.0,0.0,-0.07544595731255264,0.0,3.0,1909.0,blue,0.04654120122775818,0.0
2020-11-15,0.0,721.0,52723.0,0.0,0.0,0.0,3.0,1909.0,blue,0.04654120122775818,0.0
2020-11-16,2579.0,835.0,55302.0,0.007108131515397523,0.16080588752815972,8.0,4.0,1917.0,blue,0.05399016409130351,0.16675524933110392
2020-11-17,1070.0,860.0,56372.0,0.0015588007709205094,-0.09408921453276195,8.0,3.0,1925.0,blue,0.0556454221934649,0.06923325784535748
2020-11-18,829.0,978.0,57201.0,0.007357539638744804,-0.015026839431673709,17.0,6.0,1942.0,blue,0.06331515018897436,0.05366897700067459
2020-11-19,811.0,928.0,58012.0,-0.003117601541841019,-0.0011223365550627666,3.0,6.0,1945.0,blue,0.0601098559436211,0.052531350399005076
2020-11-20,1069.0,908.0,59081.0,-0.0012470406167364074,0.016086823955899655,7.0,6.0,1952.0,blue,0.05885540497444846,0.06929122017366234
2020-11-21,0.0,908.0,59081.0,0.0,-0.06665432096456098,0.0,6.0,1952.0,blue,0.05885540497444846,0.0
2020-11-22,0.0,908.0,59081.0,0.0,0.0,0.0,6.0,1952.0,blue,0.05885540497444846,0.0
2020-11-23,2417.0,885.0,61498.0,-0.0014340967092468684,0.15070485853259483,1.0,5.0,1953.0,blue,0.05745462383126908,0.1569127975143247
2020-11-24,1122.0,893.0,62620.0,0.000498816246694563,-0.08074587993368237,7.0,5.0,1960.0,blue,0.05801651099227724,0.0728942053004872
2020-11-25,1242.0,952.0,63862.0,0.003678769819372402,0.007482243700418445,8.0,4.0,1968.0,blue,0.061899897722122774,0.08075595900302153
2020-11-26,0.0,836.0,63862.0,-0.0072328355770711625,-0.0774412222993309,0.0,3.0,1968.0,blue,0.05435747320976327,0.0
2020-11-27,1622.0,915.0,65484.0,0.004925810436108809,0.10113499401732264,3.0,3.0,1971.0,blue,0.05955705175019624,0.10557545129925498
2020-11-28,0.0,915.0,65484.0,0.0,-0.10113499401732264,0.0,3.0,1971.0,blue,0.05955705175019624,0.0
2020-11-29,0.0,915.0,65484.0,0.0,0.0,0.0,3.0,1971.0,blue,0.05955705175019624,0.0
2020-11-30,1799.0,826.0,67283.0,-0.005549330744477013,0.11217130347543984,5.0,3.0,1976.0,blue,0.053827275701220825,0.11723398182384534
2020-12-01,660.0,760.0,67943.0,-0.004115234035230145,-0.0710189631231384,9.0,4.0,1985.0,blue,0.04954790793737927,0.04302844636667147
2020-12-02,1687.0,824.0,69630.0,0.003990529973556504,0.06403553566941453,5.0,3.0,1990.0,blue,0.0537796873337741,0.11010477249038458
2020-12-03,846.0,945.0,70476.0,0.007544595731255266,-0.05243805793376593,15.0,5.0,2005.0,blue,0.061711625817270896,0.05524659835069966
2020-12-04,1838.0,976.0,72314.0,0.0019329129559414314,0.061853214590125806,28.0,9.0,2033.0,blue,0.06381378927065284,0.12017391872895485
2020-12-05,0.0,976.0,72314.0,0.0,-0.11460303267807584,0.0,9.0,2033.0,blue,0.06381378927065284,0.0
2020-12-06,0.0,976.0,72314.0,0.0,0.0,0.0,9.0,2033.0,blue,0.06381378927065284,0.0
2020-12-07,2759.0,1113.0,75073.0,0.00854222822464439,0.1720292530787874,22.0,11.0,2055.0,blue,0.07290381870595394,0.18072024780748153
2020-12-08,1516.0,1235.0,76589.0,0.007606947762092085,-0.07750357433016772,52.0,17.0,2107.0,blue,0.08097824340814148,0.09940325263703848
2020-12-09,1012.0,1139.0,77601.0,-0.005985794960334755,-0.031425423541757466,1.0,17.0,2108.0,blue,0.07473321750450106,0.06640036533323536
2020-12-10,964.0,1156.0,78565.0,0.0010599845242259462,-0.0029928974801673777,9.0,16.0,2117.0,blue,0.07589709247167811,0.06329134700925407
2020-12-11,1081.0,1047.0,79646.0,-0.00679637136121342,0.007295187607907983,10.0,13.0,2127.0,blue,0.06878997965866504,0.07102384719294834
2020-12-12,0.0,1047.0,79646.0,0.0,-0.06740254533460283,0.0,13.0,2127.0,blue,0.06878997965866504,0.0
2020-12-13,0.0,1047.0,79646.0,0.0,0.0,0.0,13.0,2127.0,blue,0.06878997965866504,0.0
2020-12-14,2133.0,958.0,81779.0,-0.005549330744477013,0.13299688177493785,8.0,11.0,2135.0,blue,0.06303116753065861,0.1403397498360071
2020-12-15,1334.0,932.0,83113.0,-0.0016211528017573296,-0.049819272638619475,6.0,5.0,2141.0,blue,0.061374620277463335,0.08784736421688422
2020-12-16,948.0,923.0,84061.0,-0.0005611682775313833,-0.024067883903012663,56.0,13.0,2197.0,blue,0.06082216008946063,0.06246956420889348
2020-12-17,972.0,924.0,85033.0,6.235203083682038e-05,0.0014964487400836888,6.0,12.0,2203.0,blue,0.06092732174966916,0.06409237742497664
2020-12-18,700.0,870.0,85733.0,-0.0033670096651882996,-0.01695975238761514,15.0,13.0,2218.0,blue,0.05739369302686421,0.04617883346989074
2020-12-19,0.0,870.0,85733.0,0.0,-0.04364642158577426,0.0,13.0,2218.0,blue,0.05739369302686421,0.0
2020-12-20,0.0,870.0,85733.0,0.0,0.0,0.0,13.0,2218.0,blue,0.05739369302686421,0.0
2020-12-21,1662.0,802.0,87395.0,-0.004239938096903785,0.10362907525079547,6.0,13.0,2224.0,blue,0.052966031734710185,0.10976252461731711
2020-12-22,1025.0,758.0,88420.0,-0.0027434893568200965,-0.039718243643054575,89.0,25.0,2313.0,blue,0.050097021672579616,0.06774333405592889
